sample_id,variant,file_size,width,height,channels,mean_intensity,std_intensity,min_intensity,max_intensity
388,1,35422,256,256,3,88.49932861328125,40.5190829251133,0,255
388,0,18389,256,256,1,94.79527282714844,42.56788942615997,0,229
615,1,26562,256,256,3,71.38047790527344,49.693500243210856,0,227
615,0,13379,256,256,1,74.92056274414062,54.65077847046151,0,245
53,1,34417,256,256,3,25.666351318359375,37.72503937107855,0,228
53,0,16619,256,256,1,36.5281982421875,46.03683719778699,0,255
505,1,32389,256,256,3,61.11439514160156,51.49746155338152,0,243
505,0,16992,256,256,1,46.6224365234375,39.11549287660031,0,245
162,1,35207,256,256,3,62.965667724609375,41.40032068992293,0,244
162,0,17042,256,256,1,74.8726806640625,50.60523938694237,0,229
100,1,21286,256,256,3,43.87129211425781,36.355373129009195,0,255
100,0,11682,256,256,1,80.91902160644531,52.94374341267936,0,249
139,1,42300,256,256,3,57.67207336425781,48.93639676014866,0,250
139,0,19756,256,256,1,47.1103515625,41.896717771011915,0,249
662,1,18662,256,256,3,101.56602478027344,44.414520169760145,0,255
662,0,8092,256,256,1,105.56306457519531,45.60036078763929,0,249
467,1,26214,256,256,3,79.55500793457031,46.82056730445626,0,255
467,0,14019,256,256,1,65.51803588867188,38.051327760481975,0,249
217,1,33778,256,256,3,65.58233642578125,47.595659758960416,0,255
217,0,16930,256,256,1,56.92567443847656,43.30802015075148,0,245
664,1,27222,256,256,3,102.94941711425781,40.16924706787021,0,255
664,0,12847,256,256,1,103.63346862792969,41.04587473612755,0,249
92,1,24359,256,256,3,85.87098693847656,53.947093646283975,0,255
92,0,12073,256,256,1,88.90663146972656,54.68096468734658,0,245
63,1,39293,256,256,3,37.42112731933594,39.80165022819222,0,255
63,0,18625,256,256,1,51.10997009277344,47.510693833356484,0,229
698,1,25024,256,256,3,86.1070556640625,47.97018347331703,0,255
698,0,13086,256,256,1,87.29594421386719,48.0116256561909,0,245
244,1,31624,256,256,3,98.169921875,38.83803746514861,0,246
244,0,17365,256,256,1,93.62174987792969,38.7947579210487,0,229
654,1,19817,256,256,3,56.87815856933594,55.78004475240956,0,255
654,0,8984,256,256,1,55.73284912109375,55.6597598011417,0,249
338,1,32891,256,256,3,43.79417419433594,44.15261186379521,0,215
338,0,14343,256,256,1,40.16792297363281,51.49958208639337,0,229
414,1,30137,256,256,3,82.20710754394531,42.576002299672126,0,255
414,0,18531,256,256,1,83.38981628417969,42.66492842611375,0,249
567,1,31823,256,256,3,61.26312255859375,50.99567091495154,0,255
567,0,15467,256,256,1,63.1822509765625,52.31752917097817,0,229
462,1,25665,256,256,3,96.22837829589844,45.795086243421785,0,255
462,0,13128,256,256,1,101.91233825683594,46.21858878821441,0,249
253,1,32394,256,256,3,53.067230224609375,46.61739073054854,0,241
253,0,17262,256,256,1,57.94654846191406,44.076487515428504,0,245
436,1,25044,256,256,3,96.29702758789062,41.00319120706111,0,255
436,0,14227,256,256,1,86.2943115234375,39.680990584709605,0,229
277,1,15503,256,256,3,54.348846435546875,58.09449603232947,0,246
277,0,7602,256,256,1,50.8046875,58.051331791809346,0,249
475,1,26108,256,256,3,79.86795043945312,45.98298649549003,0,255
475,0,13544,256,256,1,79.80877685546875,44.85217343707335,0,249
561,1,27926,256,256,3,57.442779541015625,49.31352009241493,0,234
561,0,13585,256,256,1,61.13002014160156,52.12450250963587,0,249
373,1,41698,256,256,3,67.16050720214844,44.95100900109339,0,254
373,0,20995,256,256,1,68.757080078125,44.98975284717007,0,229
428,1,31627,256,256,3,83.30363464355469,47.52889633207598,0,253
428,0,16413,256,256,1,77.27888488769531,45.33464097751559,0,245
